D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\center_2023_08_23_22_02_46_705.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\left_2023_08_23_22_02_46_705.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\right_2023_08_23_22_02_46_705.jpg,0,0,0,3.057239E-06
D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\center_2023_08_23_22_02_46_775.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\left_2023_08_23_22_02_46_775.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\right_2023_08_23_22_02_46_775.jpg,0,0,0,2.109954E-06
D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\center_2023_08_23_22_02_46_843.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\left_2023_08_23_22_02_46_843.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\right_2023_08_23_22_02_46_843.jpg,0,0,0,7.957316E-06
D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\center_2023_08_23_22_02_46_911.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\left_2023_08_23_22_02_46_911.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\right_2023_08_23_22_02_46_911.jpg,0,0,0,1.104513E-05
D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\center_2023_08_23_22_02_46_982.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\left_2023_08_23_22_02_46_982.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\right_2023_08_23_22_02_46_982.jpg,0,0,0,4.948297E-06
D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\center_2023_08_23_22_02_47_051.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\left_2023_08_23_22_02_47_051.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\right_2023_08_23_22_02_47_051.jpg,0,0,0,1.057672E-05
D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\center_2023_08_23_22_02_47_122.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\left_2023_08_23_22_02_47_122.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\right_2023_08_23_22_02_47_122.jpg,0,0,0,4.396633E-06
D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\center_2023_08_23_22_02_47_190.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\left_2023_08_23_22_02_47_190.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\right_2023_08_23_22_02_47_190.jpg,0,0.08144131,0,0.005453578
D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\center_2023_08_23_22_02_47_261.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\left_2023_08_23_22_02_47_261.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\right_2023_08_23_22_02_47_261.jpg,0,0.3136002,0,0.2302315
D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\center_2023_08_23_22_02_47_331.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\left_2023_08_23_22_02_47_331.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\right_2023_08_23_22_02_47_331.jpg,0,0.5000331,0,0.5100703
D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\center_2023_08_23_22_02_47_402.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\left_2023_08_23_22_02_47_402.jpg,D:\DSandML\Self_Driving_Car-NIVIDIA_Model\IMG\right_2023_08_23_22_02_47_402.jpg,0,0.7347723,0,1.115857
